sura_no,aya_no,aya_text,madd_6_Lazim,madd_246,madd_6,madd_2,Ikhfaa,Idgham,tafkhim,qalqala,imala
87.0,17.0,وَالَاخِرَةُ خَيْرٞ وَأَبْق۪ىٰٓ,[-1],[5],[-1],[-1],"[20, 21]","[2, 18]","[6, 7, 13, 14, 26]","[24, 25]","[26, 27]"
87.0,18.0,إِنَّ هَٰذَا لَفِے اِ۬لصُّحُفِ اِ۬لُاول۪ىٰ,[-1],[37],[-1],[8],"[2, 3, 4]",[22],"[23, 24, 25]",[-1],"[38, 39]"
87.0,19.0,صُحُفِ إِبْرَٰهِيمَ وَمُوس۪ىٰ,[-1],[-1],[13],[-1],[-1],[-1],"[0, 1, 11, 12]","[9, 10]","[25, 26]"
88.0,1.0,هَلَ اَت۪يٰكَ حَدِيثُ اُ۬لْغَٰشِيَةِ,[-1],[-1],[-1],"[10, 29]",[-1],[9],"[27, 28]",[-1],"[7, 8]"
88.0,2.0,وُجُوهٞ يَوْمَئِذٍ خَٰشِعَةٌ,[-1],[-1],[-1],[21],"[8, 9]",[6],"[19, 20]",[-1],[-1]
88.0,3.0,عَامِلَةٞ نَّاصِبَةٞ,[-1],[-1],[-1],[-1],"[10, 11, 12]",[8],"[14, 15]",[-1],[-1]
88.0,4.0,تَصْلَىٰ نَاراً حَامِيَةٗ,[-1],[-1],[-1],[-1],[-1],[-1],"[2, 3, 4, 5, 12]",[-1],[-1]
88.0,5.0,تُسْق۪ىٰ مِنْ عَيْنٍ اٰنِيَةٖ,[-1],[21],[-1],[-1],[-1],[-1],[4],[-1],"[4, 5]"
88.0,6.0,لَّيْسَ لَهُمْ طَعَامٌ اِلَّا مِن ضَرِيعٖ,[-1],[38],[-1],[-1],[32],[-1],"[15, 16, 34, 35]",[-1],[-1]
88.0,7.0,لَّا يُسْمِنُ وَلَا يُغْنِے مِن جُوعٖ,[-1],[34],[-1],[-1],[30],[-1],"[22, 23]",[-1],[-1]
88.0,8.0,وُجُوهٞ يَوْمَئِذٖ نَّاعِمَةٞ,[-1],[-1],[-1],[-1],"[8, 9, 19, 20, 21]","[6, 17]",[-1],[-1],[-1]
88.0,9.0,لِّسَعْيِهَا رَاضِيَةٞ,[-1],[-1],[-1],[-1],[-1],[-1],"[13, 14, 16, 17]",[-1],[-1]
88.0,10.0,فِے جَنَّةٍ عَالِيَةٖ,[-1],[-1],[-1],[-1],"[6, 7, 8]",[-1],[-1],[-1],[-1]
88.0,11.0,لَّا تُسْمَعُ فِيهَا لَٰغِيَةٞ,[-1],[-1],[-1],[23],[-1],[-1],"[24, 25]",[-1],[-1]
88.0,12.0,فِيهَا عَيْنٞ جَارِيَةٞ,[-1],[-1],[-1],[-1],[12],[-1],[-1],[-1],[-1]
88.0,13.0,فِيهَا سُرُرٞ مَّرْفُوعَةٞ,[-1],[-1],[-1],[-1],"[13, 14, 15, 16]",[12],"[9, 10, 11, 17, 18]",[-1],[-1]
88.0,14.0,وَأَكْوَابٞ مَّوْضُوعَةٞ,[-1],[-1],[-1],[-1],"[12, 13, 14]",[10],"[17, 18]",[-1],[-1]
88.0,15.0,وَنَمَارِقُ مَصْفُوفَةٞ,[-1],[-1],[-1],[-1],[-1],[-1],"[9, 10, 14, 15]",[-1],[-1]
88.0,16.0,وَزَرَابِيُّ مَبْثُوثَةٌ,[-1],[-1],[-1],[-1],[-1],[-1],"[4, 5]","[15, 16]",[-1]
88.0,17.0,اَفَلَا يَنظُرُونَ إِلَى اَ۬لِابِلِ كَيْفَ خُلِقَتْ,[-1],[-1],[-1],[-1],[12],[-1],"[13, 14, 15, 16, 45, 46, 49, 50]",[-1],[-1]
88.0,18.0,وَإِلَى اَ۬لسَّمَآءِ كَيْفَ رُفِعَتْ,[-1],[-1],"[17, 18]",[-1],[-1],[11],"[29, 30]",[-1],[-1]
88.0,19.0,وَإِلَى اَ۬لْجِبَالِ كَيْفَ نُصِبَتْ,[-1],[-1],[-1],[-1],[-1],[-1],"[30, 31]",[-1],[-1]
88.0,20.0,وَإِلَى اَ۬لَارْضِ كَيْفَ سُطِحَتْ,[-1],[-1],[-1],[-1],[-1],[-1],"[14, 15, 16, 17, 28, 29]",[-1],[-1]
88.0,21.0,فَذَكِّرِ اِنَّمَآ أَنتَ مُذَكِّرٞ,[-1],[-1],"[17, 18]",[-1],"[12, 13, 14, 22]",[-1],[-1],[-1],[-1]
88.0,22.0,لَّسْتَ عَلَيْهِم بِمُصَيْطِرٍ,[-1],[-1],[-1],[-1],[16],[-1],"[22, 23, 26, 27]",[-1],[-1]
